Estado,Bioma,Latitude,Longitude,Mês,Temperatura,Umidade,Precipitacao,NDVI,Focos_Calor,Declividade,Distancia_Rios,Uso_Solo,Nivel_Risco
GO,Cerrado,-14.74763,-50.27091,Junho,40.8,72.7,17.7,0.749,14,28.8,635.2,Pastagem,Baixo
GO,Cerrado,-15.57376,-49.17882,Julho,21.2,88.2,80.3,0.386,42,26.7,1687.5,Pastagem,Médio
MT,Cerrado/Amazônia,-13.538,-53.93399,Março,21.8,13.6,154.0,0.517,22,27.2,384.2,Agricultura,Alto
MG,Cerrado,-17.64363,-42.59552,Dezembro,40.4,43.6,419.9,0.19,66,25.8,2464.6,Pastagem,Alto
MT,Cerrado/Amazônia,-11.07346,-56.42907,Janeiro,25.7,94.7,237.5,0.693,20,6.3,3510.5,Cerrado/Savana,Alto
RS,Pampa,-27.95132,-50.94813,Julho,34.4,72.3,27.4,0.813,55,35.5,1899.3,Floresta,Baixo
AM,Amazônia,-4.56466,-62.19777,Março,31.5,91.0,152.7,0.719,32,23.4,3077.4,Floresta,Médio
SP,Mata Atlântica,-25.05925,-49.78256,Outubro,22.7,23.9,40.9,0.275,39,15.3,2849.7,Pastagem,Baixo
PA,Amazônia,-6.81881,-52.62068,Dezembro,32.6,28.8,138.0,0.33,98,6.9,1480.0,Área Urbana,Alto
BA,Caatinga,-10.98711,-42.98328,Dezembro,32.7,23.2,131.5,0.108,52,31.3,2439.0,Cerrado/Savana,Médio
BA,Caatinga,-11.06476,-43.51602,Junho,31.0,35.7,38.2,0.848,45,20.4,354.4,Pastagem,Baixo
MT,Cerrado/Amazônia,-14.05928,-54.74627,Dezembro,17.7,71.6,32.0,0.847,40,5.9,2305.0,Pastagem,Baixo
RS,Pampa,-29.95857,-51.49043,Junho,41.9,24.0,13.2,0.518,96,36.9,2296.4,Cerrado/Savana,Médio
AM,Amazônia,-3.11708,-64.0296,Dezembro,25.8,54.6,6.2,0.731,85,4.2,153.3,Floresta,Médio
CE,Caatinga,-5.59627,-39.64601,Abril,32.2,32.9,234.6,0.565,98,21.0,2574.2,Pastagem,Alto
BA,Caatinga,-10.73293,-44.20563,Dezembro,38.9,80.5,6.1,0.857,54,24.4,3691.1,Floresta,Baixo
AM,Amazônia,-0.82551,-62.40697,Novembro,26.4,10.6,11.2,0.66,112,40.0,2266.7,Pastagem,Médio
SP,Mata Atlântica,-25.21583,-48.56745,Junho,35.9,29.0,32.8,0.025,52,5.6,3233.7,Agricultura,Médio
PR,Mata Atlântica,-24.48028,-53.57081,Novembro,41.2,61.4,262.3,0.748,71,24.5,2666.8,Floresta,Alto
RS,Pampa,-30.87019,-51.60485,Outubro,24.7,18.2,48.6,0.174,106,19.1,3928.0,Cerrado/Savana,Médio
MG,Cerrado,-16.79449,-43.02232,Abril,25.9,49.6,25.6,0.324,59,10.3,2577.1,Agricultura,Médio
AM,Amazônia,-4.43449,-62.53902,Agosto,39.5,47.1,150.9,0.579,18,37.7,1664.7,Pastagem,Alto
SP,Mata Atlântica,-25.94308,-49.68864,Setembro,19.3,82.5,46.1,0.823,22,31.6,4139.6,Floresta,Baixo
CE,Caatinga,-6.94358,-37.96535,Fevereiro,15.8,63.2,48.7,0.005,152,31.1,347.4,Pastagem,Médio
PA,Amazônia,-4.36988,-52.15485,Julho,39.5,64.4,161.2,0.584,3,36.0,1454.4,Agricultura,Alto
MG,Cerrado,-20.69644,-45.61749,Setembro,37.2,90.9,34.8,0.68,2,29.0,2961.5,Cerrado/Savana,Médio
PA,Amazônia,-6.82673,-52.979,Setembro,41.3,93.5,272.5,0.665,66,20.3,4281.6,Floresta,Alto
CE,Caatinga,-5.44358,-41.15294,Dezembro,16.6,65.5,98.9,0.082,37,15.7,370.0,Pastagem,Médio
SP,Mata Atlântica,-23.02617,-46.28658,Maio,19.2,54.4,92.6,0.331,36,28.2,489.3,Cerrado/Savana,Médio
BA,Caatinga,-13.67323,-41.24358,Janeiro,17.8,61.7,36.9,0.658,30,24.1,1419.1,Agricultura,Baixo
PA,Amazônia,-3.85357,-50.58791,Junho,33.5,42.5,216.3,0.586,15,21.7,1729.4,Agricultura,Alto
MG,Cerrado,-17.77401,-43.8581,Agosto,31.4,93.9,102.0,0.01,40,23.6,4219.3,Cerrado/Savana,Baixo
MT,Cerrado/Amazônia,-13.04021,-55.37543,Janeiro,24.7,69.9,20.3,0.869,95,26.2,4794.9,Cerrado/Savana,Baixo
GO,Cerrado,-17.43553,-48.46922,Fevereiro,16.6,34.7,27.7,0.123,19,38.7,96.0,Área Urbana,Médio
AM,Amazônia,-3.90141,-59.98359,Janeiro,32.3,14.9,75.8,0.853,12,30.1,86.6,Floresta,Médio
BA,Caatinga,-11.69769,-41.8018,Maio,30.4,13.8,181.5,0.36,48,7.1,4325.4,Agricultura,Médio
PA,Amazônia,-5.89473,-51.94158,Fevereiro,18.0,27.4,336.2,0.227,72,18.7,686.7,Cerrado/Savana,Alto
PR,Mata Atlântica,-24.17431,-52.14751,Outubro,39.5,29.8,130.7,0.447,41,27.1,1703.3,Floresta,Médio
AM,Amazônia,-3.33225,-60.87541,Outubro,20.4,45.3,84.7,0.777,54,7.0,1383.3,Floresta,Baixo
MT,Cerrado/Amazônia,-14.72503,-55.83118,Abril,35.1,28.3,34.6,0.621,104,37.3,1416.5,Floresta,Médio
CE,Caatinga,-4.31818,-37.87003,Janeiro,38.9,63.6,134.1,0.283,12,3.1,1649.7,Pastagem,Médio
GO,Cerrado,-16.90348,-49.83143,Julho,30.6,28.0,483.7,0.393,24,24.4,1686.9,Área Urbana,Alto
SP,Mata Atlântica,-23.2424,-45.52181,Agosto,21.7,26.0,77.6,-0.084,8,39.0,3104.6,Cerrado/Savana,Médio
MT,Cerrado/Amazônia,-12.03632,-58.77933,Maio,23.3,50.1,21.2,0.69,25,29.1,3147.6,Floresta,Baixo
MT,Cerrado/Amazônia,-12.24343,-53.91366,Fevereiro,38.9,85.5,13.1,0.158,16,27.1,2619.2,Cerrado/Savana,Baixo
CE,Caatinga,-4.18236,-37.19293,Agosto,23.1,49.8,37.6,0.831,3,39.9,4294.1,Floresta,Baixo
RS,Pampa,-28.46541,-49.1864,Janeiro,35.1,45.2,101.1,0.644,24,31.7,4229.9,Floresta,Médio
CE,Caatinga,-4.63505,-38.86723,Julho,41.7,77.1,352.1,-0.138,0,38.8,21.7,Corpo d'Água,Alto
RS,Pampa,-29.64672,-51.22349,Janeiro,42.0,31.9,42.7,0.467,32,28.0,2722.8,Pastagem,Baixo
RS,Pampa,-28.91671,-52.0115,Dezembro,29.4,40.0,43.7,0.297,37,26.6,3921.3,Agricultura,Baixo
BA,Caatinga,-9.75193,-43.09202,Junho,37.3,28.2,78.7,0.406,55,30.5,4335.7,Floresta,Baixo
BA,Caatinga,-11.36292,-39.63199,Junho,41.7,58.6,300.9,0.36,8,7.6,1283.4,Pastagem,Alto
MG,Cerrado,-18.77493,-46.21947,Maio,25.1,69.3,65.2,0.199,61,32.2,2475.6,Pastagem,Baixo
PA,Amazônia,-3.80671,-52.42491,Fevereiro,21.8,67.3,30.3,0.529,71,38.8,2629.9,Agricultura,Baixo
PA,Amazônia,-4.32003,-52.89418,Fevereiro,18.1,31.7,21.4,0.814,11,24.5,3501.2,Floresta,Baixo
SP,Mata Atlântica,-20.95211,-49.80551,Setembro,18.8,76.3,73.3,0.298,8,0.5,1658.0,Área Urbana,Médio
PA,Amazônia,-4.97573,-50.71738,Maio,38.0,31.8,193.5,0.706,28,2.9,1474.3,Floresta,Alto
BA,Caatinga,-12.42199,-41.24646,Maio,30.9,22.8,41.3,-0.006,19,9.4,3530.9,Área Urbana,Baixo
MG,Cerrado,-19.16102,-44.51897,Julho,38.6,39.7,86.2,0.837,87,19.6,2002.7,Floresta,Médio
MG,Cerrado,-21.01778,-45.62765,Junho,36.3,60.8,110.9,-0.043,48,16.6,30.1,Pastagem,Médio
RS,Pampa,-31.21013,-50.22631,Fevereiro,33.2,22.1,71.8,0.809,85,39.2,4689.9,Floresta,Médio
CE,Caatinga,-5.95705,-40.46371,Novembro,31.5,65.1,25.5,0.084,4,37.8,756.7,Cerrado/Savana,Médio
SP,Mata Atlântica,-24.11689,-47.75297,Janeiro,16.3,83.4,305.7,0.772,4,15.7,751.7,Floresta,Alto
RS,Pampa,-29.62647,-50.66355,Maio,38.6,34.9,100.0,0.173,66,31.8,4093.6,Cerrado/Savana,Médio
CE,Caatinga,-3.86247,-38.67087,Abril,26.3,48.3,156.7,-0.062,13,25.5,1684.2,Pastagem,Médio
PA,Amazônia,-4.71086,-53.22345,Dezembro,30.1,29.4,121.3,0.077,37,9.7,1647.6,Cerrado/Savana,Médio
RS,Pampa,-30.61966,-52.53682,Março,15.6,40.7,500.0,0.706,34,37.2,3115.8,Floresta,Alto
AM,Amazônia,-4.80387,-61.92861,Fevereiro,40.3,11.9,73.1,0.199,53,10.4,304.6,Área Urbana,Médio
PA,Amazônia,-6.61912,-50.52751,Outubro,39.4,91.1,66.4,0.85,13,34.8,1192.4,Floresta,Médio
CE,Caatinga,-5.15625,-37.39791,Fevereiro,29.7,76.0,53.6,-0.022,0,25.5,48.5,Corpo d'Água,Médio
SP,Mata Atlântica,-22.69235,-47.79585,Abril,30.6,77.1,53.9,0.789,26,24.8,1464.6,Área Urbana,Médio
CE,Caatinga,-5.19307,-42.16018,Fevereiro,34.0,22.1,38.7,0.896,41,33.5,4351.0,Pastagem,Médio
RS,Pampa,-29.74436,-52.25865,Abril,22.1,79.1,473.3,0.821,53,19.8,4547.6,Floresta,Alto
RS,Pampa,-31.70019,-48.94678,Março,21.0,83.1,245.6,0.812,105,34.1,1554.1,Floresta,Alto
MT,Cerrado/Amazônia,-11.13412,-55.41544,Setembro,33.2,70.8,45.7,0.136,10,22.0,946.1,Pastagem,Médio
SP,Mata Atlântica,-22.37683,-48.48233,Julho,17.8,86.8,43.7,0.68,94,39.4,685.0,Floresta,Baixo
PR,Mata Atlântica,-25.49072,-52.05926,Novembro,27.3,24.2,13.1,0.192,100,26.4,1978.2,Agricultura,Médio
PA,Amazônia,-8.10461,-53.5655,Dezembro,28.3,50.5,251.5,0.422,13,15.0,4133.8,Agricultura,Alto
MG,Cerrado,-19.32915,-44.361,Março,25.3,88.7,55.8,-0.106,0,30.5,29.7,Corpo d'Água,Médio
SP,Mata Atlântica,-19.75142,-46.66134,Agosto,20.0,60.7,102.0,0.261,52,20.4,239.2,Pastagem,Médio
MG,Cerrado,-18.32023,-44.92532,Setembro,24.6,94.6,276.8,-0.006,0,32.2,8.0,Corpo d'Água,Alto
SP,Mata Atlântica,-22.44343,-48.24088,Julho,24.1,28.3,62.9,0.635,20,33.3,1023.8,Floresta,Médio
SP,Mata Atlântica,-20.70594,-46.81624,Junho,28.5,24.9,197.3,0.408,63,24.7,4143.9,Agricultura,Médio
CE,Caatinga,-5.69278,-38.19494,Abril,33.2,31.5,67.5,0.883,30,34.9,2286.9,Cerrado/Savana,Baixo
SP,Mata Atlântica,-24.88638,-45.55112,Maio,41.1,85.8,144.9,0.84,27,16.1,1848.3,Cerrado/Savana,Médio
MT,Cerrado/Amazônia,-10.57224,-57.28201,Agosto,18.9,90.0,67.7,0.769,62,2.3,4783.5,Floresta,Baixo
PR,Mata Atlântica,-21.81074,-50.58356,Março,38.6,58.4,59.9,0.75,60,26.5,4627.5,Floresta,Baixo
RS,Pampa,-29.04496,-49.1812,Fevereiro,22.7,52.6,500.0,0.155,29,30.6,2206.1,Cerrado/Savana,Alto
GO,Cerrado,-13.3839,-49.44724,Março,31.0,95.3,113.7,-0.079,0,2.9,27.9,Corpo d'Água,Médio
MG,Cerrado,-17.31464,-42.45549,Dezembro,29.8,62.4,54.9,0.131,24,30.8,863.3,Cerrado/Savana,Médio
RS,Pampa,-31.77272,-53.82425,Julho,30.0,24.5,35.8,0.886,57,25.6,569.3,Cerrado/Savana,Médio
GO,Cerrado,-15.91633,-52.47024,Agosto,34.5,68.3,4.9,0.77,5,4.7,3405.7,Floresta,Baixo
PR,Mata Atlântica,-25.36099,-51.07844,Janeiro,25.3,48.4,147.1,0.267,25,21.6,2777.9,Cerrado/Savana,Médio
PR,Mata Atlântica,-25.30346,-51.76239,Julho,23.6,54.0,55.9,0.71,18,4.3,2787.7,Floresta,Baixo
MG,Cerrado,-20.0125,-43.36778,Setembro,38.0,97.7,206.6,-0.097,0,12.9,31.2,Corpo d'Água,Alto
MG,Cerrado,-20.1052,-47.70435,Dezembro,20.9,75.0,54.3,0.147,24,32.2,3968.4,Pastagem,Baixo
PR,Mata Atlântica,-25.20101,-50.17747,Março,19.9,81.0,56.1,0.54,56,4.0,2682.5,Agricultura,Baixo
GO,Cerrado,-15.71025,-51.5872,Março,15.4,62.7,181.2,-0.024,58,18.4,463.9,Pastagem,Alto
SP,Mata Atlântica,-23.39707,-45.97254,Agosto,20.7,73.6,80.7,0.473,28,24.2,3738.2,Agricultura,Baixo
PA,Amazônia,-5.40452,-53.12688,Abril,29.0,54.4,259.4,0.719,49,37.6,4906.7,Pastagem,Alto
AM,Amazônia,-2.74094,-64.82764,Agosto,29.5,62.6,107.0,0.667,25,29.5,2211.5,Agricultura,Médio
RS,Pampa,-31.37093,-53.18781,Maio,21.9,43.5,33.0,0.051,82,5.6,587.1,Pastagem,Baixo
CE,Caatinga,-3.07742,-38.58195,Março,17.0,77.3,100.8,0.815,15,38.8,516.0,Pastagem,Médio
RS,Pampa,-29.75231,-53.40593,Abril,35.1,49.8,0.5,0.848,26,19.1,139.1,Floresta,Baixo
CE,Caatinga,-3.98378,-37.57019,Abril,35.5,67.8,44.9,0.734,30,14.8,3854.3,Floresta,Baixo
GO,Cerrado,-14.97276,-49.89277,Agosto,41.9,62.8,28.0,0.637,55,5.1,3473.1,Área Urbana,Baixo
CE,Caatinga,-4.15242,-39.24063,Junho,39.3,69.7,127.4,0.658,19,37.3,2925.4,Floresta,Médio
MG,Cerrado,-17.12089,-43.19447,Julho,40.0,76.7,17.5,0.397,27,23.4,3830.5,Pastagem,Baixo
PA,Amazônia,-5.8716,-53.72096,Setembro,36.6,53.6,41.1,-0.054,11,39.5,4996.5,Pastagem,Baixo
PA,Amazônia,-6.13973,-51.92622,Junho,31.6,79.1,48.3,0.48,42,7.0,2015.2,Agricultura,Baixo
MG,Cerrado,-19.01916,-45.67579,Março,18.5,52.3,0.4,0.697,37,21.8,3532.0,Floresta,Baixo
MT,Cerrado/Amazônia,-12.68143,-55.25881,Março,31.8,91.3,5.7,0.171,68,4.4,1892.0,Pastagem,Baixo
GO,Cerrado,-15.62734,-50.25433,Novembro,16.5,74.0,44.7,0.567,34,21.0,1766.8,Pastagem,Baixo
MT,Cerrado/Amazônia,-12.19935,-56.79394,Março,38.9,24.5,30.2,0.054,103,35.6,4256.1,Agricultura,Médio
MT,Cerrado/Amazônia,-15.58046,-55.87486,Dezembro,28.0,80.5,14.9,0.474,14,4.4,2878.1,Pastagem,Baixo
RS,Pampa,-29.41881,-51.20574,Outubro,33.8,56.9,20.1,0.285,13,10.8,611.9,Pastagem,Baixo
PR,Mata Atlântica,-23.29646,-49.7305,Fevereiro,16.4,93.7,216.6,0.204,62,27.3,2023.5,Área Urbana,Alto
RS,Pampa,-28.83185,-52.50545,Janeiro,29.4,71.1,138.0,0.756,29,3.1,3984.8,Cerrado/Savana,Baixo
PR,Mata Atlântica,-26.11357,-49.874,Novembro,23.1,17.2,79.4,0.769,8,18.2,4700.6,Floresta,Baixo
AM,Amazônia,-6.28584,-62.44327,Outubro,22.7,43.6,287.5,0.245,16,13.3,3076.0,Agricultura,Alto
CE,Caatinga,-4.44026,-42.27561,Janeiro,25.5,54.0,3.6,0.646,49,33.5,1977.1,Floresta,Baixo
PR,Mata Atlântica,-24.53849,-50.11836,Abril,15.0,81.3,50.8,0.592,17,2.0,1267.4,Pastagem,Baixo
MG,Cerrado,-20.73836,-42.06274,Março,27.6,72.0,208.1,0.711,16,34.5,2115.9,Pastagem,Alto
RS,Pampa,-31.54475,-50.3679,Maio,28.1,41.4,118.8,0.716,83,28.1,2832.6,Floresta,Médio
GO,Cerrado,-15.95539,-49.73573,Dezembro,38.3,65.5,480.0,0.63,1,11.9,32.0,Floresta,Alto
CE,Caatinga,-7.02524,-37.75929,Setembro,27.1,59.0,347.0,0.854,94,7.9,1350.7,Cerrado/Savana,Alto
AM,Amazônia,-2.98117,-59.78874,Dezembro,24.8,20.7,22.4,0.674,80,38.0,3360.9,Cerrado/Savana,Médio
PR,Mata Atlântica,-26.77613,-51.82185,Agosto,41.9,30.0,429.0,-0.1,45,22.2,3369.4,Cerrado/Savana,Alto
AM,Amazônia,-3.15571,-62.12943,Dezembro,30.4,39.0,349.2,0.458,44,13.8,3268.5,Pastagem,Alto
GO,Cerrado,-14.82982,-50.13088,Setembro,27.8,26.6,56.1,0.31,103,1.8,4750.2,Agricultura,Médio
MT,Cerrado/Amazônia,-9.49696,-56.86024,Maio,28.4,22.8,488.1,0.788,45,6.6,2847.0,Floresta,Alto
PA,Amazônia,-9.86623,-52.6037,Agosto,36.8,14.9,4.4,0.402,95,23.9,1355.9,Floresta,Médio
GO,Cerrado,-13.9378,-51.22496,Abril,24.2,84.2,129.7,0.311,78,20.5,4059.9,Pastagem,Médio
BA,Caatinga,-14.06013,-42.96058,Maio,25.5,34.6,37.1,0.218,37,30.3,1953.0,Pastagem,Baixo
GO,Cerrado,-17.44472,-50.5591,Dezembro,35.4,34.7,16.6,0.041,53,33.4,1204.1,Agricultura,Médio
AM,Amazônia,-2.10605,-59.9305,Março,17.0,27.5,103.4,0.279,23,15.9,2788.2,Pastagem,Médio
MG,Cerrado,-22.14638,-45.11768,Maio,38.4,50.4,43.9,0.573,21,4.0,1452.3,Cerrado/Savana,Baixo
RS,Pampa,-29.57595,-50.92598,Dezembro,26.6,53.7,131.9,0.262,58,31.7,1986.8,Cerrado/Savana,Médio
MG,Cerrado,-15.66009,-47.56604,Março,30.7,27.7,93.2,0.48,22,22.1,3468.9,Área Urbana,Médio
AM,Amazônia,-7.3536,-59.12668,Maio,35.5,61.7,59.8,0.615,19,39.2,4979.8,Floresta,Baixo
RS,Pampa,-28.89985,-52.08706,Novembro,22.2,71.5,24.1,0.487,80,31.9,3227.2,Cerrado/Savana,Baixo
BA,Caatinga,-12.3226,-41.33517,Maio,39.0,41.8,110.3,0.43,9,13.2,1389.6,Agricultura,Médio
PA,Amazônia,-6.43328,-52.51733,Junho,41.4,59.8,212.1,0.017,58,17.1,461.4,Cerrado/Savana,Alto
CE,Caatinga,-4.56778,-36.6267,Setembro,28.3,52.7,110.0,0.118,18,9.4,1816.2,Cerrado/Savana,Médio
AM,Amazônia,-2.02482,-59.61102,Janeiro,40.3,26.6,113.2,0.5,62,20.5,106.4,Cerrado/Savana,Médio
PR,Mata Atlântica,-26.90536,-52.0708,Dezembro,15.0,72.1,86.1,0.402,31,28.4,2329.1,Área Urbana,Médio
AM,Amazônia,-3.10663,-65.10165,Outubro,39.1,78.1,59.0,0.606,14,24.5,3303.3,Pastagem,Baixo
AM,Amazônia,-1.69721,-61.25669,Junho,23.4,65.1,73.4,0.868,7,13.7,2563.9,Floresta,Baixo
RS,Pampa,-30.58074,-51.505,Janeiro,23.4,37.5,500.0,-0.061,2,32.9,4327.8,Agricultura,Alto
SP,Mata Atlântica,-21.6692,-47.82316,Junho,21.2,88.8,166.2,0.647,6,4.2,2475.3,Floresta,Médio
GO,Cerrado,-13.88872,-50.21806,Fevereiro,23.6,48.7,67.6,-0.036,68,5.7,2317.3,Cerrado/Savana,Médio
SP,Mata Atlântica,-22.41601,-46.49985,Agosto,20.8,32.6,73.3,0.843,30,16.2,1555.3,Área Urbana,Médio
BA,Caatinga,-9.23021,-43.03109,Novembro,39.5,44.7,83.1,0.115,21,28.1,4189.7,Pastagem,Baixo
PR,Mata Atlântica,-25.74992,-53.80919,Março,39.3,68.8,129.2,0.412,7,27.8,4519.0,Agricultura,Médio
PA,Amazônia,-7.18514,-51.66031,Outubro,17.8,81.9,75.3,-0.036,74,14.7,4889.8,Área Urbana,Baixo
MT,Cerrado/Amazônia,-10.27975,-55.68028,Junho,18.9,40.3,139.1,0.795,14,27.9,4906.2,Agricultura,Médio
BA,Caatinga,-12.58809,-43.04042,Junho,38.3,29.8,47.9,0.629,39,2.4,4902.3,Floresta,Médio
MT,Cerrado/Amazônia,-11.33237,-58.3429,Abril,25.8,63.3,63.4,0.767,14,11.6,3562.7,Floresta,Baixo
MT,Cerrado/Amazônia,-14.70343,-57.3827,Maio,19.6,88.3,239.5,0.196,13,27.8,2817.6,Cerrado/Savana,Alto
PA,Amazônia,-8.59091,-54.80208,Fevereiro,28.8,25.6,47.9,0.783,14,7.4,870.0,Floresta,Baixo
MG,Cerrado,-15.68101,-46.90021,Outubro,26.3,78.3,400.4,0.687,41,8.5,3837.6,Pastagem,Alto
SP,Mata Atlântica,-25.33222,-46.52225,Outubro,20.9,50.5,22.7,0.211,7,3.5,3677.1,Pastagem,Baixo
AM,Amazônia,-3.28414,-62.57194,Agosto,34.5,78.0,33.2,0.489,15,14.6,4213.6,Pastagem,Baixo
CE,Caatinga,-8.10506,-38.37727,Outubro,32.0,53.0,74.8,-0.061,37,33.0,2317.6,Pastagem,Médio
MT,Cerrado/Amazônia,-13.34458,-55.08933,Julho,17.7,42.1,191.6,0.615,22,33.5,4463.2,Cerrado/Savana,Alto
PR,Mata Atlântica,-25.85723,-50.07626,Outubro,40.0,69.2,157.8,0.429,38,34.5,3596.2,Área Urbana,Alto
BA,Caatinga,-10.63587,-42.40041,Junho,30.1,86.6,23.0,0.625,33,1.5,863.9,Agricultura,Baixo
MG,Cerrado,-17.18932,-46.54282,Julho,21.8,37.2,32.4,0.69,54,39.7,1042.4,Pastagem,Médio
MT,Cerrado/Amazônia,-12.28447,-55.08666,Dezembro,20.6,49.2,102.8,0.662,30,20.1,4073.2,Floresta,Baixo
MG,Cerrado,-17.73226,-40.94066,Janeiro,18.7,29.5,42.0,0.478,102,34.9,2134.2,Pastagem,Médio
MG,Cerrado,-17.64846,-45.09791,Maio,26.5,25.6,65.8,0.55,23,36.2,1252.6,Pastagem,Médio
MT,Cerrado/Amazônia,-8.41867,-54.46945,Julho,18.7,76.1,80.0,0.417,5,20.6,2118.7,Pastagem,Médio
RS,Pampa,-32.43436,-52.40625,Janeiro,26.2,27.1,108.2,0.082,25,2.0,815.3,Cerrado/Savana,Médio
GO,Cerrado,-17.38724,-48.87156,Fevereiro,19.0,77.4,34.7,0.696,38,23.9,4459.8,Agricultura,Baixo
PR,Mata Atlântica,-24.03326,-50.70482,Setembro,32.7,46.5,21.4,0.897,89,13.4,367.0,Cerrado/Savana,Médio
AM,Amazônia,-5.91486,-63.17714,Dezembro,36.2,94.6,61.0,0.869,37,8.3,1772.7,Área Urbana,Baixo
AM,Amazônia,-3.69393,-64.95288,Março,29.8,26.8,10.3,0.69,62,7.3,2789.1,Floresta,Médio
PR,Mata Atlântica,-26.19774,-49.51535,Junho,33.4,17.9,89.8,0.318,20,22.4,4369.5,Cerrado/Savana,Baixo
RS,Pampa,-32.36111,-49.04711,Julho,40.3,16.4,219.6,0.432,58,4.2,3909.9,Floresta,Médio
AM,Amazônia,-1.83328,-62.65611,Setembro,32.2,81.0,15.2,-0.031,90,32.9,121.9,Cerrado/Savana,Médio
MG,Cerrado,-19.48331,-43.30226,Maio,24.8,47.2,14.4,0.316,14,9.1,4128.0,Cerrado/Savana,Baixo
PA,Amazônia,-6.72161,-53.837,Abril,27.1,10.3,10.0,0.056,9,22.0,3194.2,Agricultura,Baixo
BA,Caatinga,-12.6158,-44.89535,Novembro,38.2,84.4,226.0,0.686,9,5.0,675.4,Floresta,Alto
SP,Mata Atlântica,-25.72496,-47.10349,Dezembro,18.5,84.5,10.1,0.792,58,34.4,3091.2,Pastagem,Baixo
AM,Amazônia,-2.75646,-63.42236,Fevereiro,23.8,78.5,492.3,0.869,71,27.7,4091.3,Cerrado/Savana,Alto
PR,Mata Atlântica,-25.18642,-53.97019,Março,30.6,31.1,53.2,0.849,43,8.3,3014.5,Pastagem,Baixo
PA,Amazônia,-4.14127,-52.39988,Maio,33.3,41.7,47.8,0.093,16,28.6,4995.7,Agricultura,Baixo
MT,Cerrado/Amazônia,-12.21718,-56.18762,Novembro,35.6,73.3,11.5,0.801,38,3.3,2539.9,Cerrado/Savana,Baixo
GO,Cerrado,-15.71281,-50.56566,Fevereiro,23.6,51.6,105.7,0.042,37,30.9,3368.9,Cerrado/Savana,Médio
PR,Mata Atlântica,-23.19552,-51.31468,Abril,18.9,23.1,105.8,0.617,57,19.6,361.2,Floresta,Médio
MG,Cerrado,-18.75858,-44.56298,Janeiro,40.8,30.6,81.7,0.544,31,4.8,4067.9,Pastagem,Baixo
GO,Cerrado,-15.87495,-50.10365,Abril,17.1,92.7,44.7,0.362,11,22.0,3124.3,Cerrado/Savana,Baixo
BA,Caatinga,-11.91084,-43.10379,Julho,17.6,22.8,55.2,0.852,47,8.0,2810.6,Agricultura,Baixo
BA,Caatinga,-13.87419,-40.8611,Dezembro,28.4,71.7,46.4,0.233,32,26.9,3547.0,Cerrado/Savana,Baixo
RS,Pampa,-30.24786,-49.77291,Março,37.1,94.3,66.6,0.053,0,28.3,45.6,Corpo d'Água,Médio
CE,Caatinga,-4.48668,-40.47894,Outubro,35.9,73.6,50.2,0.823,85,30.4,3834.6,Floresta,Baixo
RS,Pampa,-29.16736,-49.43421,Agosto,40.3,66.2,135.1,0.813,20,35.8,2921.7,Floresta,Médio
PA,Amazônia,-4.86953,-51.73162,Junho,18.8,47.3,42.1,0.313,26,26.2,2605.1,Cerrado/Savana,Baixo
GO,Cerrado,-16.08766,-48.35044,Junho,25.1,40.1,51.8,0.743,16,19.7,683.7,Floresta,Médio
CE,Caatinga,-5.97104,-39.14219,Janeiro,22.6,84.3,68.6,0.057,0,34.2,1.5,Corpo d'Água,Médio
MT,Cerrado/Amazônia,-8.82574,-56.11168,Maio,38.2,37.5,0.5,0.576,41,36.0,2695.8,Pastagem,Baixo
MG,Cerrado,-19.14107,-45.18494,Março,28.2,77.0,81.3,0.775,74,31.3,3126.6,Floresta,Médio
GO,Cerrado,-15.93701,-48.56313,Outubro,15.7,67.8,35.5,0.178,43,37.7,2284.9,Pastagem,Baixo
RS,Pampa,-29.81133,-52.20279,Janeiro,34.1,59.1,6.9,0.525,34,39.2,741.8,Agricultura,Baixo
SP,Mata Atlântica,-24.52545,-46.40193,Agosto,25.5,41.3,290.3,0.717,23,10.1,760.3,Floresta,Alto
CE,Caatinga,-5.03641,-38.96754,Julho,29.3,27.4,46.7,0.734,121,7.3,3607.7,Pastagem,Médio
CE,Caatinga,-3.72377,-35.55896,Julho,39.1,70.4,66.6,0.009,33,17.9,3310.6,Cerrado/Savana,Baixo
MG,Cerrado,-20.70305,-43.51971,Dezembro,21.9,17.8,210.8,-0.077,54,39.9,1304.9,Pastagem,Alto
AM,Amazônia,-3.32254,-64.98686,Outubro,21.5,92.5,21.9,0.756,6,3.5,2234.8,Floresta,Baixo
BA,Caatinga,-10.7057,-41.06824,Outubro,22.1,93.2,227.9,0.676,12,28.5,1541.7,Pastagem,Alto
BA,Caatinga,-11.38029,-44.24913,Outubro,24.1,21.1,33.2,0.214,99,34.0,913.3,Pastagem,Médio
SP,Mata Atlântica,-23.88063,-48.2488,Abril,17.9,18.8,106.7,0.601,39,39.9,1637.6,Pastagem,Médio
PA,Amazônia,-2.29535,-51.01317,Novembro,33.8,45.1,138.9,0.832,29,24.8,1320.8,Área Urbana,Alto
PA,Amazônia,-6.56145,-55.03496,Junho,20.6,91.9,282.5,0.359,13,15.2,421.3,Área Urbana,Alto
